Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),67.66,67.20,67.97,2029.79,67.24,67.33,67.43,67.56,67.69,67.76,67.89,67.94,67.96,0.18
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,504.67,269.00,514.00,15140.00,335.70,503.50,512.60,513.00,513.00,514.00,514.00,514.00,514.00,43.85
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.24,0.20,0.32,7.06,0.20,0.21,0.21,0.22,0.23,0.25,0.26,0.28,0.31,0.02
HTTP Connection Overhead (ms),0.24,0.20,0.32,7.06,0.20,0.21,0.21,0.22,0.23,0.25,0.26,0.28,0.31,0.02
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),121.24,64.95,123.64,3637.09,80.84,120.95,123.04,123.22,123.31,123.38,123.45,123.51,123.62,10.47
HTTP Data Sent (KB),2.35,2.10,2.56,70.59,2.15,2.28,2.30,2.31,2.33,2.38,2.46,2.51,2.55,0.08
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7567.36,7533.22,7619.27,227020.82,7533.55,7536.03,7541.14,7556.59,7563.69,7578.76,7593.19,7604.80,7615.08,20.46
HTTP Receiving (ms),7257.38,7227.73,7297.74,217721.54,7230.62,7238.76,7240.33,7246.41,7255.12,7265.51,7273.95,7289.06,7297.34,15.78
HTTP Sending (ms),0.34,0.30,0.46,10.26,0.30,0.31,0.31,0.31,0.34,0.35,0.38,0.40,0.45,0.03
HTTP Total Time (ms),7567.60,7533.43,7619.49,227027.88,7533.77,7536.24,7541.38,7556.83,7563.93,7578.97,7593.47,7605.06,7615.31,20.47
HTTP Waiting (TTFB) (ms),309.63,292.05,376.71,9289.02,292.32,293.11,293.91,296.82,307.73,317.81,321.30,324.83,362.31,16.27
Input Sequence Length (tokens),512.00,512.00,512.00,15360.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),14.45,13.64,60.81,217704.85,13.88,13.97,14.00,14.06,14.14,14.31,14.41,14.51,16.45,3.08
Inter Token Latency (ms),14.20,14.14,14.28,426.06,14.15,14.17,14.17,14.18,14.20,14.22,14.23,14.26,14.28,0.03
OSL Mismatch Diff % (%),-0.01,-0.20,0.00,-0.20,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Output Sequence Length (tokens),511.97,511.00,512.00,15359.00,511.29,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.18
Output Token Count (tokens),511.97,511.00,512.00,15359.00,511.29,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.18
Output Token Throughput Per User (tokens/sec/user),70.41,70.02,70.70,2112.37,70.03,70.11,70.25,70.33,70.43,70.52,70.58,70.59,70.67,0.15
Prefill Throughput Per User (tokens/sec/user),1655.60,1357.55,1750.96,49668.09,1417.34,1574.47,1591.72,1609.05,1661.17,1722.69,1739.87,1744.47,1749.28,79.17
Request Latency (ms),7566.86,7520.42,7619.22,227005.67,7524.12,7535.36,7541.09,7556.58,7563.60,7578.62,7593.17,7604.78,7615.03,21.35
Time to First Output Token (ms),310.03,292.41,377.15,9300.83,292.69,293.50,294.28,297.21,308.22,318.20,321.66,325.21,362.73,16.28
Time to First Token (ms),310.03,292.41,377.15,9300.83,292.69,293.50,294.28,297.21,308.22,318.20,321.66,325.21,362.73,16.28
Time to Second Token (ms),15.56,15.18,16.03,466.86,15.18,15.22,15.30,15.45,15.56,15.65,15.84,15.92,16.01,0.20

Metric,Value
Benchmark Duration (sec),227.13
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),67.62
Request Count,30.00
Request Throughput (requests/sec),0.13
Total Input Sequence Length (tokens),15360.00
Total Output Sequence Length (tokens),15359.00
Total Output Tokens (tokens),15359.00
Total Token Throughput (tokens/sec),135.25


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
