Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),190.94,109.61,263.13,9547.13,115.45,151.49,154.09,169.87,191.77,210.90,235.65,244.10,255.01,31.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,67.28,30.00,190.00,3364.00,34.90,41.45,43.90,51.25,61.00,74.00,88.50,124.95,160.11,27.23
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.26,0.21,0.61,13.15,0.21,0.22,0.22,0.22,0.25,0.27,0.31,0.34,0.50,0.06
HTTP Connection Overhead (ms),0.27,0.21,0.90,13.44,0.21,0.22,0.22,0.22,0.25,0.27,0.31,0.34,0.65,0.10
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),55.21,25.80,62.97,2760.59,26.85,37.09,40.47,47.44,62.74,62.87,62.92,62.93,62.97,10.47
HTTP Data Sent (KB),0.39,0.27,0.70,19.50,0.27,0.28,0.29,0.33,0.38,0.42,0.53,0.58,0.66,0.09
HTTP DNS Lookup (ms),0.01,0.00,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.04
HTTP Duration (excl. conn) (ms),1192.09,768.94,1686.54,59604.38,791.65,831.96,864.55,989.22,1202.38,1365.19,1522.84,1596.59,1680.40,243.11
HTTP Receiving (ms),1000.80,589.73,1500.36,50039.83,613.57,651.25,684.10,808.37,1012.22,1141.60,1307.73,1403.09,1482.28,236.76
HTTP Sending (ms),0.38,0.31,0.81,19.09,0.31,0.32,0.32,0.33,0.36,0.39,0.46,0.51,0.68,0.08
HTTP Total Time (ms),1192.36,769.32,1686.80,59617.82,791.97,832.20,864.77,989.47,1202.64,1365.93,1523.07,1596.83,1680.66,243.12
HTTP Waiting (TTFB) (ms),190.91,173.90,256.43,9545.45,174.54,177.48,178.68,181.86,186.84,193.55,202.86,227.17,252.45,16.56
Input Sequence Length (tokens),64.14,31.00,132.00,3207.00,31.98,37.25,43.70,48.25,62.00,72.00,97.10,104.50,124.16,21.01
Inter Chunk Latency (ms),4.47,0.00,91.81,49952.75,0.00,0.00,0.00,0.00,0.00,0.03,28.14,28.96,31.44,10.47
Inter Token Latency (ms),4.52,3.12,7.45,225.88,3.22,3.34,3.45,4.02,4.36,5.01,5.41,5.82,7.10,0.85
OSL Mismatch Diff % (%),-12.33,-59.77,0.00,-616.41,-58.04,-41.56,-36.09,-24.80,0.00,0.00,0.00,0.00,0.00,16.88
Output Sequence Length (tokens),224.44,103.00,256.00,11222.00,107.41,149.60,163.60,192.50,256.00,256.00,256.00,256.00,256.00,43.22
Output Token Count (tokens),224.44,103.00,256.00,11222.00,107.41,149.60,163.60,192.50,256.00,256.00,256.00,256.00,256.00,43.22
Output Token Throughput Per User (tokens/sec/user),228.67,134.18,320.84,11433.71,141.27,171.89,184.88,199.64,229.44,249.02,289.96,299.17,310.78,40.18
Prefill Throughput Per User (tokens/sec/user),331.35,172.65,530.79,16567.46,180.13,207.83,234.71,267.14,327.61,375.09,471.11,511.80,524.31,87.55
Request Latency (ms),1190.41,740.51,1686.48,59520.29,777.14,829.61,847.01,988.04,1202.39,1365.27,1522.81,1596.60,1680.40,245.23
Time to First Output Token (ms),191.35,174.34,257.37,9567.54,174.96,177.88,179.25,182.23,187.34,193.95,203.30,227.58,253.12,16.60
Time to First Token (ms),191.35,174.34,257.37,9567.54,174.96,177.88,179.25,182.23,187.34,193.95,203.30,227.58,253.12,16.60
Time to Second Token (ms),31.76,29.44,91.81,1588.01,29.44,29.59,29.76,29.92,30.44,30.99,31.71,32.31,62.78,8.61

Metric,Value
Accuracy (Overall) (ratio),
Accuracy (gsm8k) (ratio),
Accuracy Unparsed (Overall) (ratio),
Accuracy Unparsed (gsm8k) (ratio),
Benchmark Duration (sec),59.72
OSL Mismatch Count,20.00
Output Token Throughput (tokens/sec),187.91
Request Count,50.00
Request Throughput (requests/sec),0.84
Total Input Sequence Length (tokens),3207.00
Total Output Sequence Length (tokens),11222.00
Total Output Tokens (tokens),11222.00
Total Token Throughput (tokens/sec),241.61


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
