Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),147.52,135.20,156.50,442.57,135.52,136.77,138.34,143.04,150.87,153.68,155.37,155.94,156.39,9.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,10032.67,5685.00,13739.00,30098.00,5784.78,6183.90,6682.80,8179.50,10674.00,12206.50,13126.00,13432.50,13677.70,3319.16
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.37,0.27,0.56,1.12,0.27,0.27,0.28,0.28,0.29,0.42,0.50,0.53,0.55,0.13
HTTP Connection Overhead (ms),0.47,0.27,0.85,1.41,0.27,0.27,0.28,0.28,0.29,0.57,0.73,0.79,0.84,0.27
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),2833.26,1757.94,3776.31,8499.79,1782.09,1878.70,1999.46,2361.74,2965.55,3370.93,3614.16,3695.23,3760.09,829.29
HTTP Data Sent (KB),1.79,1.60,2.11,5.38,1.60,1.60,1.61,1.63,1.67,1.89,2.03,2.07,2.11,0.23
HTTP DNS Lookup (ms),0.10,0.00,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.14,0.23,0.26,0.28,0.14
HTTP Duration (excl. conn) (ms),80369.03,47995.81,114990.48,241107.10,48598.31,51008.31,54020.81,63058.31,78120.81,96555.64,107616.54,111303.51,114253.08,27396.62
HTTP Receiving (ms),79855.30,47263.17,114635.28,239565.89,47871.25,50303.59,53344.02,62465.31,77667.45,96151.36,107241.71,110938.49,113895.92,27548.02
HTTP Sending (ms),0.53,0.41,0.76,1.59,0.41,0.41,0.41,0.42,0.42,0.59,0.69,0.72,0.75,0.16
HTTP Total Time (ms),80369.50,47996.09,114991.32,241108.51,48598.59,51008.59,54021.09,63058.59,78121.10,96556.21,107617.28,111304.30,114253.92,27396.86
HTTP Waiting (TTFB) (ms),513.21,354.44,732.24,1539.62,356.41,364.29,374.14,403.69,452.94,592.59,676.38,704.31,726.65,160.01
Input Sequence Length (tokens),548.33,467.00,610.00,1645.00,469.02,477.10,487.20,517.50,568.00,589.00,601.60,605.80,609.16,60.01
Inter Chunk Latency (ms),6.84,0.00,39.17,239565.03,0.00,0.00,0.00,0.04,0.07,0.22,28.23,28.74,30.04,12.07
Inter Token Latency (ms),6.75,6.35,7.37,20.26,6.36,6.37,6.39,6.44,6.53,6.95,7.20,7.29,7.36,0.45
OSL Mismatch Diff % (%),-64.38,-77.90,-52.55,-193.15,-77.60,-76.38,-74.86,-70.30,-62.69,-57.62,-54.58,-53.57,-52.76,10.42
Output Sequence Length (tokens),11671.33,7241.00,15547.00,35014.00,7340.70,7739.50,8238.00,9733.50,12226.00,13886.50,14882.80,15214.90,15480.58,3413.52
Output Token Count (tokens),11671.33,7241.00,15547.00,35014.00,7340.70,7739.50,8238.00,9733.50,12226.00,13886.50,14882.80,15214.90,15480.58,3413.52
Output Token Throughput Per User (tokens/sec/user),148.73,135.61,157.40,446.20,135.96,137.37,139.13,144.40,153.19,155.29,156.56,156.98,157.32,9.44
Prefill Throughput Per User (tokens/sec/user),1173.97,775.20,1716.75,3521.90,780.30,800.68,826.15,902.57,1029.94,1373.35,1579.39,1648.07,1703.01,397.65
Request Latency (ms),80368.83,47995.58,114990.30,241106.48,48598.08,51008.08,54020.58,63058.09,78120.61,96555.45,107616.36,111303.33,114252.91,27396.64
Time to First Output Token (ms),513.82,355.32,732.71,1541.46,357.28,365.13,374.94,404.37,453.42,593.07,676.85,704.78,727.13,159.88
Time to First Token (ms),513.82,355.32,732.71,1541.46,357.28,365.13,374.94,404.37,453.42,593.07,676.85,704.78,727.13,159.88
Time to Second Token (ms),29.67,29.33,29.97,89.00,29.34,29.37,29.40,29.52,29.70,29.84,29.92,29.94,29.97,0.26

Metric,Value
Accuracy (Overall) (ratio),
Accuracy (lcb_codegeneration) (ratio),
Accuracy Unparsed (Overall) (ratio),
Accuracy Unparsed (lcb_codegeneration) (ratio),
Benchmark Duration (sec),241.23
OSL Mismatch Count,3.00
Output Token Throughput (tokens/sec),145.15
Request Count,3.00
Request Throughput (requests/sec),0.01
Total Input Sequence Length (tokens),1645.00
Total Output Sequence Length (tokens),35014.00
Total Output Tokens (tokens),35014.00
Total Token Throughput (tokens/sec),151.96


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
