Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),131.16,31.72,225.36,13116.40,35.13,64.91,90.70,119.71,134.79,148.13,160.34,179.42,200.70,32.08
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1803.04,9.00,17116.00,180304.00,16.92,36.60,50.70,258.50,863.50,2386.75,4340.00,6531.85,10066.21,2571.82
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.25,0.21,0.42,24.92,0.22,0.22,0.22,0.23,0.24,0.25,0.27,0.30,0.40,0.04
HTTP Connection Overhead (ms),0.26,0.21,0.60,25.78,0.22,0.22,0.22,0.23,0.24,0.25,0.27,0.31,0.57,0.07
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),631.72,10.01,4609.46,63171.66,11.70,26.62,41.99,142.11,372.91,910.67,1413.81,2054.37,2974.87,734.93
HTTP Data Sent (KB),1.97,1.17,3.33,197.41,1.29,1.40,1.50,1.67,1.94,2.19,2.54,2.62,3.15,0.41
HTTP DNS Lookup (ms),0.01,0.00,0.18,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.17,0.04
HTTP Duration (excl. conn) (ms),18520.48,1197.84,120475.85,1852047.79,1250.75,1326.44,1641.22,4992.57,10402.55,26082.71,39771.01,57987.18,88067.73,20977.29
HTTP Receiving (ms),17440.38,117.95,119235.45,1744038.22,144.43,375.52,730.71,3707.53,9357.05,24893.65,39022.56,56801.61,86802.75,20949.44
HTTP Sending (ms),0.36,0.31,0.54,35.72,0.32,0.32,0.32,0.33,0.34,0.37,0.40,0.42,0.50,0.04
HTTP Total Time (ms),18520.74,1198.09,120476.09,1852073.56,1251.00,1326.66,1641.75,4992.80,10402.80,26082.97,39771.26,57987.41,88068.00,20977.30
HTTP Waiting (TTFB) (ms),1079.74,245.48,1553.16,107973.85,318.68,570.95,689.82,1055.26,1140.46,1230.40,1295.74,1380.70,1448.81,252.04
Inter Chunk Latency (ms),6.70,0.00,41.01,1743799.37,0.00,0.00,0.00,0.00,0.04,0.13,28.41,30.19,31.81,12.11
Inter Token Latency (ms),6.05,2.70,8.15,605.47,2.98,3.49,3.84,5.26,6.30,7.09,7.48,7.80,7.93,1.33
Output Sequence Length (tokens),2601.96,38.00,19046.00,260196.00,44.93,106.50,169.50,582.75,1529.50,3750.50,5825.20,8470.90,12282.32,3034.04
Output Token Count (tokens),2601.96,38.00,19046.00,260196.00,44.93,106.50,169.50,582.75,1529.50,3750.50,5825.20,8470.90,12282.32,3034.04
Output Token Throughput Per User (tokens/sec/user),176.07,122.70,370.11,17606.57,126.06,128.22,133.66,141.07,158.61,190.15,260.42,286.26,335.60,51.78
Request Latency (ms),18518.14,1197.83,120475.55,1851814.35,1250.80,1326.42,1638.63,4992.56,10402.57,26082.69,39770.97,57987.05,88067.62,20976.58
Time to First Output Token (ms),1080.15,245.93,1553.59,108014.98,319.10,571.32,690.23,1055.67,1140.89,1230.81,1296.11,1381.12,1449.26,252.05
Time to First Token (ms),1080.15,245.93,1553.59,108014.98,319.10,571.32,690.23,1055.67,1140.89,1230.81,1296.11,1381.12,1449.26,252.05
Time to Second Token (ms),30.53,28.17,35.04,3053.22,28.26,28.51,28.63,28.98,30.25,31.78,32.88,33.56,34.79,1.74

Metric,Value
Benchmark Duration (sec),1852.90
Output Token Throughput (tokens/sec),140.43
Request Count,100.00
Request Throughput (requests/sec),0.05
Total Output Sequence Length (tokens),260196.00
Total Output Tokens (tokens),260196.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
