Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),237.40,133.62,276.59,1187.02,138.38,157.42,181.22,252.63,258.49,265.69,272.23,274.41,276.16,52.50
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,10693.40,9537.00,11314.00,53467.00,9586.56,9784.80,10032.60,10776.00,10828.00,11012.00,11193.20,11253.60,11301.92,608.09
HTTP Chunks Sent,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.29,0.26,0.34,1.43,0.26,0.26,0.26,0.27,0.28,0.29,0.32,0.33,0.33,0.03
HTTP Connection Overhead (ms),0.29,0.26,0.34,1.43,0.26,0.26,0.26,0.27,0.28,0.29,0.32,0.33,0.33,0.03
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),2990.48,2981.74,3000.89,14952.40,2981.97,2982.91,2984.08,2987.59,2989.82,2992.36,2997.48,2999.18,3000.55,6.28
HTTP Data Sent (KB),51.78,49.33,53.11,258.89,49.42,49.78,50.23,51.58,51.82,53.06,53.09,53.10,53.11,1.37
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),55763.26,44426.39,91961.58,278816.31,44499.29,44790.89,45155.39,46248.87,47538.09,48641.38,74633.50,83297.54,90228.77,18153.46
HTTP Receiving (ms),51228.57,39681.42,87285.66,256142.83,39752.12,40034.92,40388.42,41448.92,42803.76,44923.07,70340.62,78813.14,85591.16,18109.83
HTTP Sending (ms),0.42,0.38,0.49,2.11,0.38,0.38,0.38,0.39,0.42,0.43,0.47,0.48,0.49,0.04
HTTP Total Time (ms),55763.55,44426.68,91961.85,278817.75,44499.58,44791.18,45155.67,46249.15,47538.34,48641.72,74633.80,83297.82,90229.04,18153.45
HTTP Waiting (TTFB) (ms),4534.28,3717.82,4799.52,22671.38,3756.13,3909.36,4100.91,4675.53,4733.95,4744.55,4777.53,4788.53,4797.32,410.12
Input Sequence Length (tokens),12288.00,12288.00,12288.00,61440.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,0.00
Inter Chunk Latency (ms),4.17,0.00,38.98,256141.76,0.00,0.00,0.00,0.04,0.08,0.13,29.23,30.00,31.61,10.30
Inter Token Latency (ms),4.17,3.23,7.10,20.85,3.24,3.26,3.29,3.37,3.48,3.66,5.72,6.41,6.97,1.47
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),12288.00,12288.00,12288.00,61440.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,0.00
Output Token Count (tokens),12288.00,12288.00,12288.00,61440.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,0.00
Output Token Throughput Per User (tokens/sec/user),261.48,140.77,309.64,1307.42,146.08,167.32,193.87,273.51,287.06,296.44,304.36,307.00,309.11,61.50
Prefill Throughput Per User (tokens/sec/user),2735.54,2559.99,3304.66,13677.68,2561.18,2565.93,2571.86,2589.65,2595.48,2627.89,3033.95,3169.30,3277.59,285.38
Request Latency (ms),55763.11,44426.26,91961.41,278815.57,44499.16,44790.74,45155.22,46248.66,47538.00,48641.24,74633.34,83297.38,90228.60,18153.45
Time to First Output Token (ms),4534.76,3718.39,4800.01,22673.81,3756.69,3909.91,4101.43,4675.99,4734.39,4745.03,4778.02,4789.02,4797.81,410.08
Time to First Token (ms),4534.76,3718.39,4800.01,22673.81,3756.69,3909.91,4101.43,4675.99,4734.39,4745.03,4778.02,4789.02,4797.81,410.08
Time to Second Token (ms),32.04,31.50,33.74,160.20,31.50,31.52,31.53,31.59,31.61,31.77,32.95,33.34,33.66,0.85

Metric,Value
Benchmark Duration (sec),279.12
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),220.12
Request Count,5.00
Request Throughput (requests/sec),0.02
Total Input Sequence Length (tokens),61440.00
Total Output Sequence Length (tokens),61440.00
Total Output Tokens (tokens),61440.00
Total Token Throughput (tokens/sec),440.24


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
