Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),129.54,33.76,210.39,12953.95,34.61,69.26,92.39,118.81,132.77,146.73,159.11,167.55,199.00,30.34
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1832.70,13.00,14463.00,183270.00,18.94,41.75,57.90,250.75,1016.50,2393.50,4685.40,6760.90,8089.38,2352.42
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.25,0.21,0.56,24.82,0.21,0.22,0.22,0.23,0.23,0.25,0.27,0.35,0.52,0.05
HTTP Connection Overhead (ms),0.26,0.21,0.68,25.59,0.21,0.22,0.22,0.23,0.23,0.25,0.27,0.49,0.57,0.08
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),620.00,10.16,4005.61,61999.55,11.87,27.05,37.98,144.40,400.60,797.88,1613.64,1938.45,2303.55,674.01
HTTP Data Sent (KB),1.98,1.17,3.33,197.80,1.30,1.41,1.50,1.68,1.95,2.19,2.55,2.63,3.16,0.41
HTTP DNS Lookup (ms),0.01,0.00,0.18,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.17,0.03
HTTP Duration (excl. conn) (ms),18249.64,1125.65,112705.71,1824964.27,1298.25,1359.32,1657.91,4779.73,12218.26,25926.57,45482.52,59059.19,70390.35,19583.00
HTTP Receiving (ms),17220.39,116.69,112284.26,1722039.11,200.08,372.95,732.59,3704.53,11097.73,24695.59,44361.91,57863.05,69171.28,19598.11
HTTP Sending (ms),0.35,0.30,0.69,35.41,0.31,0.31,0.32,0.33,0.34,0.36,0.39,0.46,0.64,0.06
HTTP Total Time (ms),18249.90,1125.88,112705.94,1824989.87,1298.53,1359.54,1658.18,4779.96,12218.48,25926.80,45482.76,59059.45,70390.61,19583.00
HTTP Waiting (TTFB) (ms),1028.90,235.88,1304.71,102889.76,327.11,575.82,655.58,1007.00,1093.24,1159.13,1228.55,1260.43,1300.75,222.71
Inter Chunk Latency (ms),6.86,0.00,168.88,1721664.30,0.00,0.00,0.00,0.00,0.04,0.15,27.96,29.73,32.00,12.52
Inter Token Latency (ms),6.21,2.64,8.46,620.89,3.14,3.76,4.28,5.46,6.49,7.16,7.60,7.84,8.28,1.28
Output Sequence Length (tokens),2511.86,38.00,16200.00,251186.00,44.93,106.50,150.60,582.75,1620.50,3235.50,6544.00,7862.75,9331.38,2732.99
Output Token Count (tokens),2511.86,38.00,16200.00,251186.00,44.93,106.50,150.60,582.75,1620.50,3235.50,6544.00,7862.75,9331.38,2732.99
Output Token Throughput Per User (tokens/sec/user),170.33,118.22,378.39,17032.99,120.75,127.48,131.54,139.71,154.12,183.37,233.80,266.22,319.00,47.22
Request Latency (ms),18245.95,1125.63,112705.41,1824594.92,1298.21,1359.30,1657.96,4779.67,12205.03,25926.54,45482.49,59033.75,70390.25,19581.06
Time to First Output Token (ms),1029.31,236.33,1305.11,102930.62,327.48,576.22,656.00,1007.38,1093.63,1159.50,1228.95,1260.88,1301.27,222.71
Time to First Token (ms),1029.31,236.33,1305.11,102930.62,327.48,576.22,656.00,1007.38,1093.63,1159.50,1228.95,1260.88,1301.27,222.71
Time to Second Token (ms),69.13,28.11,168.88,6913.45,28.31,28.42,28.74,30.52,83.20,88.29,97.57,100.58,116.00,30.34

Metric,Value
Benchmark Duration (sec),1825.77
Output Token Throughput (tokens/sec),137.58
Request Count,100.00
Request Throughput (requests/sec),0.05
Total Output Sequence Length (tokens),251186.00
Total Output Tokens (tokens),251186.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
