Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),244.75,184.71,424.93,2447.48,185.75,189.94,195.17,199.94,222.38,255.64,302.21,363.57,412.66,67.52
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,2941.20,1420.00,3557.00,29412.00,1428.28,1461.40,1502.80,3215.25,3254.00,3310.25,3384.20,3470.60,3539.72,743.76
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.25,0.23,0.29,2.51,0.23,0.23,0.24,0.24,0.24,0.26,0.27,0.28,0.29,0.02
HTTP Connection Overhead (ms),0.25,0.23,0.29,2.51,0.23,0.23,0.24,0.24,0.24,0.26,0.27,0.28,0.29,0.02
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),922.65,532.76,1016.14,9226.53,538.48,561.37,589.97,1006.32,1013.05,1013.53,1014.99,1015.57,1016.03,179.64
HTTP Data Sent (KB),17.61,16.33,18.89,176.09,16.36,16.46,16.58,17.17,17.72,18.01,18.48,18.69,18.85,0.75
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),17673.04,9639.24,22159.36,176730.39,10034.18,11613.97,13588.70,16019.13,18426.64,20486.22,20992.19,21575.77,22042.64,3610.46
HTTP Receiving (ms),15990.52,7973.78,20492.22,159905.24,8363.62,9922.97,11872.17,14234.86,16784.22,18897.01,19232.46,19862.34,20366.25,3625.64
HTTP Sending (ms),0.36,0.34,0.42,3.63,0.34,0.34,0.34,0.35,0.35,0.38,0.39,0.40,0.41,0.02
HTTP Total Time (ms),17673.29,9639.47,22159.60,176732.89,10034.42,11614.21,13588.95,16019.38,18426.87,20486.49,20992.43,21576.02,22042.88,3610.47
HTTP Waiting (TTFB) (ms),1682.15,1568.45,1820.01,16821.51,1573.24,1592.42,1616.39,1653.05,1665.96,1710.28,1774.70,1797.36,1815.48,68.42
Input Sequence Length (tokens),4096.00,4096.00,4096.00,40960.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,0.00
Inter Chunk Latency (ms),4.29,0.00,103.81,159904.23,0.00,0.00,0.00,0.02,0.03,0.05,28.28,30.69,51.94,11.58
Inter Token Latency (ms),3.91,1.95,5.01,39.09,2.05,2.44,2.93,3.48,4.10,4.61,4.70,4.85,4.98,0.88
OSL Mismatch Diff % (%),-0.14,-1.17,0.00,-1.39,-1.08,-0.69,-0.21,-0.07,0.00,0.00,0.00,0.00,0.00,0.35
Output Sequence Length (tokens),4090.30,4048.00,4096.00,40903.00,4051.96,4067.80,4087.60,4093.25,4096.00,4096.00,4096.00,4096.00,4096.00,14.17
Output Token Count (tokens),4090.30,4048.00,4096.00,40903.00,4051.96,4067.80,4087.60,4093.25,4096.00,4096.00,4096.00,4096.00,4096.00,14.17
Output Token Throughput Per User (tokens/sec/user),274.89,199.69,513.57,2748.88,201.02,206.35,213.00,216.71,244.15,287.66,347.35,430.46,496.94,88.40
Prefill Throughput Per User (tokens/sec/user),2438.33,2250.02,2610.76,24383.30,2255.78,2278.83,2307.63,2394.68,2458.06,2477.18,2533.65,2572.20,2603.05,97.52
Request Latency (ms),17672.99,9639.19,22159.29,176729.94,10034.13,11613.91,13588.63,16019.11,18426.57,20486.18,20992.15,21575.72,22042.58,3610.46
Time to First Output Token (ms),1682.57,1568.89,1820.43,16825.71,1573.68,1592.85,1616.80,1653.51,1666.35,1710.70,1775.11,1797.77,1815.89,68.42
Time to First Token (ms),1682.57,1568.89,1820.43,16825.71,1573.68,1592.85,1616.80,1653.51,1666.35,1710.70,1775.11,1797.77,1815.89,68.42
Time to Second Token (ms),31.08,29.39,33.93,310.84,29.41,29.49,29.60,29.90,30.35,32.65,33.37,33.65,33.87,1.64

Metric,Value
Benchmark Duration (sec),176.92
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),231.20
Request Count,10.00
Request Throughput (requests/sec),0.06
Total Input Sequence Length (tokens),40960.00
Total Output Sequence Length (tokens),40903.00
Total Output Tokens (tokens),40903.00
Total Token Throughput (tokens/sec),462.72


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
